GM12878,ARID3A,ENCSR778UBR
GM12878,ARNT,ENCSR590KEQ
GM12878,ATF2,ENCSR000BQK
GM12878,ATF7,ENCSR014YCR
GM12878,BACH1,ENCSR636MKU
GM12878,BCL3,ENCSR000BNQ
GM12878,BCLAF1,ENCSR000BJZ
GM12878,BHLHE40,ENCSR987MTA
GM12878,BMI1,ENCSR469WII
GM12878,BRCA1,ENCSR000DZS
GM12878,CBFB,ENCSR860UHK
GM12878,CBX5,ENCSR372GIN
GM12878,CEBPB,ENCSR681NOM
GM12878,CHD1,ENCSR000DZE
GM12878,CHD2,ENCSR000DZR
GM12878,CHD4,ENCSR751CJG
GM12878,CREB1,ENCSR000BUF
GM12878,CREM,ENCSR839XZU
GM12878,CTCF,ENCSR000DZN
GM12878,CUX1,ENCSR000DYR
GM12878,DPF2,ENCSR509FWH
GM12878,E2F4,ENCSR000DYY
GM12878,E2F8,ENCSR793HVL
GM12878,E4F1,ENCSR439WAF
GM12878,EED,ENCSR199WXF
GM12878,EGR1,ENCSR000BRG
GM12878,ELF1,ENCSR841NDX
GM12878,ELK1,ENCSR000DZB
GM12878,EP300,ENCSR000DZD
GM12878,ESRRA,ENCSR000DYQ
GM12878,ETS1,ENCSR000BKA
GM12878,ETV6,ENCSR626VUC
GM12878,FOXK2,ENCSR861JUQ
GM12878,FOXM1,ENCSR000BRU
GM12878,GABPA,ENCSR331HPA
GM12878,GATAD2B,ENCSR828NCB
GM12878,HCFC1,ENCSR514VAY
GM12878,HDAC2,ENCSR330OEO
GM12878,HDGF,ENCSR145XQO
GM12878,IKZF1,ENCSR441VHN
GM12878,IRF5,ENCSR976TBC
GM12878,JUNB,ENCSR897MMC
GM12878,JUND,ENCSR000DYS
GM12878,KDM1A,ENCSR391IWM
GM12878,LARP7,ENCSR657PEW
GM12878,MAFK,ENCSR000DYV
GM12878,MAX,ENCSR000DZF
GM12878,MAZ,ENCSR903MVU
GM12878,MEF2A,ENCSR000BKB
GM12878,MLLT1,ENCSR552XSN
GM12878,MTA2,ENCSR293QAR
GM12878,MTA3,ENCSR000BRH
GM12878,MXI1,ENCSR000DZI
GM12878,MYC,ENCSR000DKU
GM12878,NBN,ENCSR278SQL
GM12878,NFATC3,ENCSR437GBJ
GM12878,NFIC,ENCSR000BRN
GM12878,NFXL1,ENCSR746XEG
GM12878,NFYA,ENCSR000DNN
GM12878,NFYB,ENCSR000DNM
GM12878,NKRF,ENCSR732PJX
GM12878,NR2C1,ENCSR784VIQ
GM12878,NR2C2,ENCSR000EUL
GM12878,NR2F1,ENCSR514VYD
GM12878,NRF1,ENCSR000DZO
GM12878,PKNOX1,ENCSR711XNY
GM12878,PML,ENCSR000BQM
GM12878,POLR2A,ENCSR000BGD
GM12878,POLR2AphosphoS2,ENCSR000DZK
GM12878,POLR2AphosphoS5,ENCSR000BIF
GM12878,PRDM15,ENCSR748SQL
GM12878,RAD21,ENCSR000EAC
GM12878,RAD51,ENCSR482TWQ
GM12878,RB1,ENCSR785OKZ
GM12878,RBBP5,ENCSR330EXS
GM12878,RCOR1,ENCSR000DZC
GM12878,REST,ENCSR000BQS
GM12878,RFX5,ENCSR000DZW
GM12878,RXRA,ENCSR000BJD
GM12878,SIN3A,ENCSR000DYX
GM12878,SKIL,ENCSR212YKD
GM12878,SMAD1,ENCSR813DCK
GM12878,SMAD5,ENCSR251OVJ
GM12878,SMARCA5,ENCSR706YUH
GM12878,SMC3,ENCSR000DZP
GM12878,SP1,ENCSR000BHK
GM12878,SPI1,ENCSR000BGQ
GM12878,SREBF1,ENCSR000DYU
GM12878,SRF,ENCSR000BGE
GM12878,STAT5A,ENCSR000BQZ
GM12878,SUZ12,ENCSR091BOQ
GM12878,TAF1,ENCSR000BGS
GM12878,TARDBP,ENCSR412QBS
GM12878,TBL1XR1,ENCSR000DYZ
GM12878,TBP,ENCSR000DZZ
GM12878,TCF12,ENCSR725VFL
GM12878,TCF3,ENCSR000BQT
GM12878,TCF7,ENCSR501DKS
GM12878,TRIM22,ENCSR835XKS
GM12878,UBTF,ENCSR459FTB
GM12878,USF2,ENCSR000DZU
GM12878,YY1,ENCSR000BNP
GM12878,ZBED1,ENCSR207PFI
GM12878,ZBTB33,ENCSR542FLV
